article_id,split,gold_label,label_reason,ambiguous_note,search_query,matched_queries,duplicate_count,title,description,originallink,link,pubDate_iso
NEWS-0011,dev,중립,"유럽 전기차 보조금과 배터리 기업의 실적·투자 내용이 중심으로, 제목과 요약문만으로 국내 전기차 시장 전체의 수요·보급에 미치는 영향은 확인하기 어려움",,전기차 보조금,"전기차 가격, 전기차 보조금, 전기차 판매",3,"끝 보이는 전기차 캐즘에 AI 투자 확대… ‘동반 흑자’ 배터리 3사, 하...","우선 유럽은 일부 국가들이 최근 전기차 보조금 지원을 확대한 것이 영향을 줬다. 독일의 경우 지난 2023년 말 전기차 보조금 제도를 폐지했지만, 올해부터 다시 시행해 2029년까지 지원을 계속하기로 했다. 내수가...",https://biz.chosun.com/industry/company/2026/08/03/CQRKXUIJRJDTJNDPYXAM23IT7Y/?utm_source=naver&utm_medium=original&utm_campaign=biz,https://n.news.naver.com/mnews/article/366/0001183968?sid=101,2026-08-03T11:16:00+09:00
NEWS-0012,dev,긍정,"국내 전기차의 구매·보유·잔존가치를 포함한 전 주기 지원과 보조금·세제혜택 반영 구매가격이 제시돼 구매 접근성이 개선될 가능성이 있음",,전기차 보조금,"전기차 가격, 전기차 보조금, 전기차 충전",3,"기아, ' 전기차 라이프 전 단계 맞춤 솔루션'으로 EV 대중화 승부수","기아가 상품·구매·보유·잔존가치를 아우르는 '전 주기 맞춤형 전기차 솔루션'을 앞세워 국내 전동화... 정부·지자체 보조금 과 세제혜택을 반영하면 카고 컴팩트는 2천만 원 중후반대, 패신저 5인승은 3천만 원...",http://www.newsroad.co.kr/news/articleView.html?idxno=62344,http://www.newsroad.co.kr/news/articleView.html?idxno=62344,2026-08-03T11:12:00+09:00
NEWS-0013,dev,긍정,"PV5의 국내 판매가격과 보조금·세제혜택 적용 구매가격이 제시돼 국내 소비자의 전기차 구매 접근성과 연결되는 내용임",,전기차 보조금,"전기차 보조금, 전기차 충전",2,"상반기 유럽 전기차 판매 '역대 최대' 기아, 맞춤형 EV 설루션 승부수","PV5 신규 라인업 가격은 전기차 세제혜택 적용 전 기준으로 카고 컴팩트 4100만원, 샤시캡 도너모델 4500만원, 패신저 5인승 4829만원, 패신저 7인승 4902만~5239만원, 프라임 5202만~5670만원이다. 보조금 을 반영하면 카고...",https://www.newsfreezone.co.kr/news/articleView.html?idxno=702136,https://www.newsfreezone.co.kr/news/articleView.html?idxno=702136,2026-08-03T11:12:00+09:00
NEWS-0014,dev,긍정,"PV5 라인업 확대와 정부·지자체 보조금 및 세제혜택을 반영한 구매가격이 제시돼 국내 소비자의 선택지와 구매 접근성이 개선될 가능성이 있음",,전기차 보조금,전기차 보조금,1,"기아, PV5 라인업 10종으로 확대…다인승·도심배송·특장 수요 공략","전기차 세제혜택과 정부·지방자치단체 보조금 을 반영하면 지역에 따라 카고 컴팩트는 2000만원 중후반대, 패신저 5인승은 3000만원 후반대, 패신저 7인승은 4000만원 초반대부터 구매할 수 있을 것으로 기아는...",https://www.inthenews.co.kr/news/article.html?no=90073,https://www.inthenews.co.kr/news/article.html?no=90073,2026-08-03T11:04:00+09:00
NEWS-0015,dev,중립,"미국 전기차 판매 비중 감소와 미국 세액공제 종료 내용으로, 국내 전기차 시장 전체에 같은 영향이 있다고 보기 어려움",,전기차 보조금,전기차 보조금,1,‘ 전기차 40% 꺾였는데 역대 최대?’⋯ 美서 대반전 쓴 현대차·기아의...,"전체 신차 판매 중 전기차 비중은 5.8%로, 보조금 막바지 수요가 몰렸던 지난해 3분기(10.6%)의 반토막 수준으로 떨어졌다. 최대 7500달러 규모의 미국 친환경차 세액공제 혜택이 지난해 9월 30일 자로 종료된 데다...",https://www.viva100.com/article/20260803500530,https://www.viva100.com/article/20260803500530,2026-08-03T10:56:00+09:00
NEWS-0016,dev,긍정,"PV5 라인업 확대와 구매·보유·관리 지원, 보조금·세제혜택 반영 가격이 제시돼 국내 전기차 구매 접근성과 이용 편의성이 개선될 가능성이 있음",,전기차 보조금,전기차 보조금,1,"기아, PV5 라인업 10종으로 확대... 전기차 '구매·보유·관리' 전방위 지...","전기차 세제 혜택과 정부·지방자치단체 보조금 을 적용하면 지역에 따라 카고 컴팩트는 2000만원 중후반대, 패신저 5인승은 3000만원 후반대, 패신저 7인승은 4000만원 초반대부터 구매할 수 있을 것으로 기아는...",https://www.joongangenews.com/news/articleView.html?idxno=537207,https://www.joongangenews.com/news/articleView.html?idxno=537207,2026-08-03T10:36:00+09:00
NEWS-0017,dev,긍정,"내연기관차에서 전기차로 전환할 때 100만원을 지원하고 보조금·세제혜택 반영 구매가격도 제시돼, 국내 소비자의 전기차 구매 부담 완화와 연결되는 내용임",,전기차 보조금,전기차 보조금,1,"기아 내연차, 전기차 로 바꾸면 100만원 지원…PV5 라인업도 확대","전기차 세제 혜택과 정부·지자체 보조금 을 반영하면 ‘카고 컴팩트’는 지역에 따라 2000만원 중후반대, 패신저 5인승은 3000만원대 후반, 패신저 7인승은 4000만원대 초반부터 구매할 수 있을 전망이다. EV6의 연식...",https://www.chosun.com/economy/auto/2026/08/03/IHDTMG65LNFQJNENP4F2LOAKKQ/?utm_source=naver&utm_medium=referral&utm_campaign=naver-news,https://n.news.naver.com/mnews/article/023/0003991065?sid=101,2026-08-03T10:28:00+09:00
NEWS-0018,dev,긍정,"PV5 라인업 확대와 정부·지자체 보조금 및 세제혜택을 반영한 구매가격이 제시돼, 국내 소비자의 선택지와 전기차 구매 접근성이 개선될 가능성이 있음",,전기차 보조금,전기차 보조금,1,"""전동화 대중화 이끈다"" 기아, PBV 라인업 확장… 전 주기 맞춤 솔루션 ...","여기에 전기차 세제 혜택과 정부·지자체 보조금 을 적용할 경우 카고 컴팩트는 2000만원 중후반대, 패신저 5인승(1-2-2)은 3000만원 후반대부터 구매할 수 있을 것으로 전망된다. 연식 변경 모델인 The 2027 EV6는...",https://www.financialpost.co.kr/news/articleView.html?idxno=268877,https://www.financialpost.co.kr/news/articleView.html?idxno=268877,2026-08-03T10:24:00+09:00
NEWS-0019,dev,긍정,"PV5 라인업 확대와 보조금 반영 구매가격, 구매·정비·중고차 관리 지원이 포함돼 국내 소비자의 전기차 선택지와 보유 편의가 개선될 가능성이 있음",,전기차 보조금,전기차 보조금,1,"기아, 전기차 ‘평생 고객’ 잡는다…선택지 늘리고 혜택 확대","기아가 전용 목적기반차량(PBV)인 PV5의 라인업을 10종으로 확대하고 전기차 구매부터 정비, 중고차... 보조금 을 반영하면 카고 컴팩트는 지역에 따라 2000만원 중후반대부터 구매할 수 있을 것으로 예상된다. 기아는...",https://www.dailian.co.kr/news/view/1673747/?sc=Naver,https://n.news.naver.com/mnews/article/119/0003117507?sid=101,2026-08-03T10:16:00+09:00
NEWS-0020,dev,중립,"미국 하이브리드 판매와 유럽 전기차 판매 실적이 함께 언급된 해외 시장 기사로, 국내 전기차 시장 전체에 미치는 영향은 불명확함",,전기차 판매,전기차 판매,1,"‘하이브리드 질주’…현대차·기아, 7월 美서 16.5만대 판매 ‘역대 최...","한편, 현대차·기아가 올해 상반기 유럽에서 전기차 판매 10만대를 훌쩍 넘기며 반기 기준 역대 최대 실적을 갈아치웠다. 2일 현대차·기아에 따르면 현대차·기아는 상반기 유럽에서 전기차 13만1032대를...",https://biz.heraldcorp.com/article/10828961?ref=naver,https://n.news.naver.com/mnews/article/016/0002678689?sid=101,2026-08-03T11:17:00+09:00
NEWS-0021,dev,중립,"미국 세액공제 종료 이후 현대차·기아의 미국 전기차 판매 감소 내용으로, 국내 전기차 시장 전체의 수요·보급에 미치는 영향은 불명확함",,전기차 판매,전기차 판매,1,"현대차·기아, 7월 미국서 역대 최다 판매 …친환경차 30% 돌파","반면 전기차 는 세액공제 종료 영향으로 판매 대수가 7210대로 40.5% 감소했다. 현대차는 4545대로 46.1%, 기아는 2665대로 27.7% 각각 줄었다. 브랜드별 친환경차 판매 는 현대차(제네시스 포함)가 2만7278대로 7.9...",https://www.ajunews.com/view/20260803110645605,https://www.ajunews.com/view/20260803110645605,2026-08-03T11:16:00+09:00
NEWS-0022,dev,긍정,"안전 보조 기능의 기본 적용과 주행거리 개선 등 실제 차량 성능·안전성이 향상돼, 국내 소비자의 전기차 이용 편의와 상품성이 개선될 가능성이 있음",,전기차 충전,"전기차 가격, 전기차 충전",2,"기아, EV 전 생애주기 맞춤 서비스 강화…""PV5 라인업도 확대""",전용 전기차 EV6의 연식변경 모델인 '더 2027 EV6'도 계약을 시작했다. 전 트림에 테일게이트 비상램프와 페달 오조작 안전 보조(PMSA 2.0)를 기본 적용했으며 항속형 2WD 모델은 개선된 19인치 타이어를 적용해 1회 충전 ...,http://www.thebigdata.co.kr/view.php?ud=202608031035296090ecbf9426b_23,http://www.thebigdata.co.kr/view.php?ud=202608031035296090ecbf9426b_23,2026-08-03T11:14:00+09:00
NEWS-0023,dev,중립,"공공 충전요금 개편으로 완속 요금은 인하되고 초고속 요금은 인상돼, 소비자 비용 부담에 긍정·부정 요소가 함께 있어 전체 영향 방향이 명확하지 않음",,전기차 충전,전기차 충전,1,"전기차 공공 충전 요금 완속기 인하, 초고속기 인상",기후에너지환경부는 ' 전기차 공공 충전 요금 체계 개편안'을 1일 확정하고 8월 1일부터 시행에 들어간다고 밝혔다. 이번 개편을 통해 공공 충전 요금 체계는 기존 2단계에서 완속 구간과 초급속 구간을 포함한 5단계로...,https://www.hapt.co.kr/news/articleView.html?idxno=169159,https://www.hapt.co.kr/news/articleView.html?idxno=169159,2026-08-03T11:12:00+09:00
NEWS-0024,dev,중립,"전기차 충전소 구축·운영 사업 확대 계획이 언급되지만 구체적인 설치 규모나 시행 결과가 없어, 국내 전기차 이용 편의에 미치는 실제 영향은 아직 불명확함",,전기차 충전,전기차 충전,1,"새 가치체계 선포한 현엔…""에너지 기업 변신 가속""","탄소 포집·저장 등 저탄소 플랜트 사업과 전기차 충전 소 구축·운영 사업 등도 확대해 나갈 계획이다. 회사의 정체성을 ‘공간과 에너지를 잇는 길 위에서, 우리의 기술로 더 나은 삶을 만든다’로 정의했다. 가치체계...",https://www.hankyung.com/article/202608031361i,https://n.news.naver.com/mnews/article/015/0005316642?sid=101,2026-08-03T11:11:00+09:00
NEWS-0025,dev,긍정,"주행거리 개선, 판매가격 제시, 전기차 구매지원 지속과 중고차 관리 확대가 포함돼 국내 소비자의 구매·보유 편의 개선과 연결되는 내용임",,전기차 충전,전기차 충전,1,상반기 전기차 7만대 판 기아···하반기는 PV5·중고차 관리 확대,"1회 충전 주행거리는 502㎞로 늘었다. 스탠다드 모델도 395㎞로 증가했다. 판매 가격은 스탠다드 라이트가 4360만원, 롱레인지 라이트가 4760만원부터다. 올해 1월 시작한 전기차 구매 지원도 조건을 바꿔 이어간다....",https://www.smartbizn.com/news/articleView.html?idxno=150141,https://www.smartbizn.com/news/articleView.html?idxno=150141,2026-08-03T11:08:00+09:00
NEWS-0026,dev,중립,"여름철 일반 차량 화재 예방과 안전 점검 안내로, 국내 전기차 시장 전체의 수요·보급에 미치는 영향은 불명확함",,배터리 화재,배터리 화재,1,"교통안전공단, 여름철 자동차 화재 예방 위한 주의 당부","특히 전면 유리 아래 대시보드 부근에 물건을 방치하면 폭발이나 화재 로 직결될 수 있다. 보조 배터리 , 휴대전화 등 배터리 내장형 전자기기나 일회용 라이터, 부탄가스, 스프레이 등 가스 포함 제품은 고온에서 폭발 위험이...",https://daily.hankooki.com/news/articleView.html?idxno=1392000,https://daily.hankooki.com/news/articleView.html?idxno=1392000,2026-08-03T11:30:00+09:00
NEWS-0027,dev,중립,"차세대 수계 아연이온 배터리 연구 결과로, 실제 전기차 적용이나 상용화가 확인되지 않아 국내 전기차 시장 전체에 미치는 영향은 아직 불명확함",,배터리 화재,"배터리 화재, 전기차 가격",2,"성균관대 ""엄숭호 교수팀, 버려지는 DNA로 차세대 아연 배터리 성능 대...",기존의 전기차 및 전자기기에 주로 쓰이는 리튬 이온 배터리 는 성능이 뛰어나지만 화재 위험이 높고 원재료 비용이 비싸다는 단점이 있었다. 이에 대한 대안으로 물을 전해질로 사용하는 '수계 아연 이온 배터리 '가...,https://edu.donga.com/news/articleView.html?idxno=110504,https://edu.donga.com/news/articleView.html?idxno=110504,2026-08-03T11:14:00+09:00
NEWS-0028,dev,중립,"배터리 열관리를 위한 복합소재 연구 결과로, 실제 차량 적용이나 상용화가 확인되지 않아 국내 전기차 시장 전체에 미치는 영향은 아직 불명확함",,배터리 화재,배터리 화재,1,"중앙대, 단열·열저장·난연 통합한 바이오기반 열관리 복합소재 개발",리튬이온 배터리 는 충·방전이나 내부 단락으로 과도한 열이 발생할 수 있다. 이 열이 인접한 셀로 빠르게 전달되면 연쇄적인 온도 상승과 화재 를 동반하는 열폭주로 이어질 수 있다. 이를 막기 위해 고분자 폼과 세라믹...,https://www.betanews.net/article/view/beta202608030017,https://www.betanews.net/article/view/beta202608030017,2026-08-03T11:10:00+09:00
NEWS-0029,final_test,중립,"여름철 일반 차량 화재 예방과 안전 점검 안내로, 국내 전기차 시장 전체의 수요·보급에 미치는 영향은 불명확함",,배터리 화재,배터리 화재,1,"TS, 폭염 속 차량 화재 막는다…냉각수·타이어 점검 당부","폭염이 이어지는 여름철 차량 실내 온도가 최고 90℃까지 치솟아 보조 배터리 나 라이터 등을 방치할 경우 폭발· 화재 위험이 커질 수 있다. 장거리 이동 전에는 냉각수와 타이어 공기압을 살피고, 에어컨 사용 중에는 실내...",http://www.fnnews.com/news/202608030830271759,https://n.news.naver.com/mnews/article/014/0005556345?sid=101,2026-08-03T11:04:00+09:00
NEWS-0030,final_test,중립,"여름철 일반 차량 화재 예방과 안전 점검 안내로, 국내 전기차 시장 전체의 수요·보급에 미치는 영향은 불명확함",,배터리 화재,배터리 화재,1,"""폭염 장기화··· 자동차 안전 운행· 화재 예방 신경 써야""","공단은 직사광선에 오래 노출된 차의 실내 온도는 90도까지 상승할 수 있는 만큼, 차량 내부, 특히 앞 유리 부근에 물건을 방치하면 폭발이나 화재 로 이어질 수 있다고 했습니다. 보조 배터리 , 휴대전화, 일회용 라이터...",https://dgmbc.com/NewsArticle/854352,https://n.news.naver.com/mnews/article/657/0000053985?sid=102,2026-08-03T11:03:00+09:00
NEWS-0031,final_test,중립,"배터리 열폭주 억제 소재의 연구 성과를 소개한 기사로, 실제 차량 적용이나 상용화가 확인되지 않아 국내 전기차 시장 전체에 미치는 영향은 아직 불명확함",,배터리 화재,배터리 화재,1,"중앙대, 배터리 열폭주 억제 '다기능 열관리 복합소재' 개발",리튬이온 배터리 는 충·방전이나 내부 단락 시 과도한 열이 인접 셀로 전달되면 연쇄 온도 상승과 화재 를 동반하는 열폭주로 이어질 수 있다. 기존 단열재는 열전달을 늦출 뿐 열을 직접 흡수하지 못하는 한계가 있고...,https://weekly.hankooki.com/news/articleView.html?idxno=7177150,https://weekly.hankooki.com/news/articleView.html?idxno=7177150,2026-08-03T11:00:00+09:00
NEWS-0032,final_test,중립,"전기차·ESS용 배터리 열관리 소재 연구 결과로, 실제 차량 적용이나 상용화가 확인되지 않아 국내 전기차 시장 전체에 미치는 영향은 아직 불명확함",,배터리 화재,배터리 화재,1,"중앙대, 단열·열저장·난연 성능 통합한바이오기반 다기능 열관리 복합...",전기자동차와 에너지저장장치(ESS)에 사용되는 리튬이온 배터리 는 충·방전이나 내부 단락으로 과도한 열이 발생할 수 있다. 이 열이 인접한 셀로 빠르게 전달되면 연쇄적인 온도 상승과 화재 를 동반하는...,https://edu.donga.com/news/articleView.html?idxno=110501,https://edu.donga.com/news/articleView.html?idxno=110501,2026-08-03T10:58:00+09:00
NEWS-0033,final_test,부정,"주차된 전기차에서 화재가 발생해 주변 차량까지 피해를 입었고 배터리 부근 발화가 추정돼, 전기차 안전성에 대한 소비자 불안을 키울 가능성이 있음",,배터리 화재,배터리 화재,1,인천 공터에 주차된 전기차서 화재 ... 차량 9대 피해,"보이는 차량 여러 대가 방치된 상태로 주차돼 있었던 것으로 전해졌다. 소방 당국 관계자는 ""전기차 배터리 부분에서 화재 가 시작된 것으로 추정된다""며 ""정확한 화재 원인과 재산 피해 규모를 조사 중""이라고 말했다.",https://www.insight.co.kr/news/566064,https://www.insight.co.kr/news/566064,2026-08-03T10:54:00+09:00
NEWS-0034,final_test,중립,"배터리 열폭주 방지 가능성이 있는 복합소재 연구 결과로, 실제 차량 적용이나 상용화가 확인되지 않아 국내 전기차 시장 전체에 미치는 영향은 아직 불명확함",,배터리 화재,배터리 화재,1,"""전기차 불길 잡아라""… 중앙대, 배터리 열폭주 막는 친환경 복합소재 ...","전기차와 대규모 에너지저장장치(ESS) 시장이 급성장함에 따라 리튬이온 배터리 의 화재 , 열폭주 안전성이 최우선 과제로 떠오르고 있다. 배터리 셀 하나에서 발생한 과열이 이웃 셀로 번지는 연쇄 열폭주 현상은 화재 ...",http://www.dailysmart.co.kr/news/articleView.html?idxno=127731,http://www.dailysmart.co.kr/news/articleView.html?idxno=127731,2026-08-03T10:50:00+09:00
NEWS-0035,final_test,중립,"차세대 소듐이온전지용 음극 소재 연구 결과로, 실제 전기차 적용이나 상용화가 확인되지 않아 국내 전기차 시장 전체에 미치는 영향은 아직 불명확함",,전기차 가격,전기차 가격,1,차세대 소듐이온전지용 고용량 음극 소재 개발,소듐이온전지는 가격 경쟁력과 안전성 측면에서 기존 전기차 에 쓰이는 리튬이온전지의 대안으로 주목받는다. 연구팀은 이에 따라 자원이 풍부하고 안정적인 공급망을 갖춘 마그네슘(Mg)과 적린(P)을 기반으로 '마그네슘...,https://www.yna.co.kr/view/AKR20260803071000051?input=1195m,https://n.news.naver.com/mnews/article/001/0016230360?sid=101,2026-08-03T11:15:00+09:00
